skill_key,example,hot,code
!trak-it solutions !trak-it hr,!Trak-it Solutions !Trak-it HR,0,43231505
100 plus hatch pattern library,100 Plus Hatch Pattern Library,0,43232101
1003 uniform residential loan application,1003 Uniform Residential Loan Application,0,43231604
1099 prossoftware,1099 ProsSoftware,0,43231603
1cadcam unigraphics,1CadCam Unigraphics,0,43232612
1st pricing window & door toolkit,1ST Pricing Window & Door Toolkit,0,43231503
20-20 technologies 20-20 design,20-20 Technologies 20-20 Design,0,43232604
24sevenoffice project,24SevenOffice Project,0,43231507
2ab ilock security services,2AB iLock Security Services,0,43232901
360 analytics equest,360 Analytics eQUEST,0,43232605
3d graphic design,3D graphic design,0,43232102
3d graphics,3D graphics,0,43232102
3d motion analysis,3D motion analysis,0,43232605
3d nature llc visual nature studio,3D Nature LLC Visual Nature Studio,0,43232604
3d nature llc world construction set,3D Nature LLC World Construction Set,0,43232604
3d printing,3D Printing,0,43232604
3d static strength prediction program 3dsspp,3D Static Strength Prediction Program 3DSSPP,0,43232605
3d systems geomagic design x,3D Systems Geomagic Design X,0,43232604
3d systems gibbscam,3D Systems GibbsCAM,0,43232612
3d urban simulation modeling,3D urban simulation modeling,0,43232604
3dgrid hipaa checkup,3DGrid HIPAA Checkup,0,43232606
3dmapper,3dMapper,0,43232605
3m electronic monitoring,3M Electronic Monitoring,0,43232306
3m encoder,3M Encoder,0,43232301
3m post-it app,3M Post-it App,0,43232104
3pl central,3PL Central,0,43231506
4n6xprt systems stiffcalcs,4n6xprt Systems StiffCalcs,0,43232604
5am glassbox translational research,5AM Glassbox Translational Research,0,43232306
80-20 software leaders4,80-20 Software Leaders4,0,43232606
911 system information databases,911 system information databases,0,43232306
@road geomanager,@Road GeoManager,0,43231506
a la mode pocket total,a la mode Pocket TOTAL,0,43232605
a la mode wintotal,a la mode WinTOTAL,0,43232605
a large outdoor fire plume trajectory model flat terrain aloft-ft,A Large Outdoor Fire plume Trajectory model Flat Terrain ALOFT-FT,0,43232605
a mathematical programming language ampl,A mathematical programming language AMPL,0,43232605
a programming language apl,A programming language APL,0,43232402
a&d technology itest,A&D Technology iTest,0,43232605
a-systems jobview,A-Systems JobView,0,43231601
a-t solutions easy street draw,A-T Solutions Easy Street Draw,0,43232102
a1-law,A1-Law,0,43232306
aabach graphic systems digra,AABACH Graphic Systems DIGRA,0,43232608
aasofttech web organization chart,AASoftTech Web Organization Chart,0,43232105
ab initio,Ab Initio,0,43231602
abacus data solutions hearware,Abacus Data Solutions HearWare,0,43232610
abacus data systems abacuslaw,Abacus Data Systems AbacusLaw,0,43232306
abacus tax,Abacus Tax,0,43231603
abacusnext hotdocs,AbacusNext HotDocs,0,43232202
abb cpm4metals,ABB CPM4Metals,0,43231506
abb microscada pro dms,ABB MicroSCADA Pro DMS,0,43232608
abb microscada pro sys,ABB MicroSCADA Pro SYS,0,43232608
abb optimize it predict & control,ABB Optimize IT Predict & Control,0,43232603
abb production planning,ABB Production Planning,0,43231506
abb psguard,ABB PSGuard,0,43232608
abb robotstudio,ABB RobotStudio,0,43232402
abbott,Abbott,0,43232406
abbott informatics starlims:lims,Abbott Informatics STARLIMS:LIMS,0,43232605
abbottsoft quickfix,AbbottSoft QuickFix,0,43232306
abc compiler,ABC Compiler,0,43232402
abc programming language,ABC programming language,0,43232402
abc: the aspectbench compiler for aspectj,ABC: the AspectBench Compiler for AspectJ,0,43232405
abelsoft abeldent,ABELSoft ABELDent,0,43232610
abilis coris offender management system,Abilis CORIS Offender Management System,0,43232306
ability photopaint,Ability Photopaint,0,43232102
