skill_key,,,commodities,short_key,count
microsoft works,,,43231513:Office suite software,microsoft,116
oracle weblogic server,,,43232701:Application server software,oracle,87
ibm z/os operating systems,,,43233002:Network operation system software,ibm,80
autodesk world,,,43232306:Data base user interface and query software,autodesk,47
adobe xd,,,43232102:Graphics or photo imaging software,adobe,42
sap sybase sql anywhere,,,43232303:Customer relationship management CRM software,sap,34
thomson west prolaw,,,43232303:Customer relationship management CRM software,thomson,34
sage timeslips,,,43231605:Time accounting software,sage,30
google workspace software,,,43231513:Office suite software,google,29
apache tomcat,,,43232408:Web platform development software,apache,28
apple xsan,,,43233001:Filesystem software,apple,26
esri what if?,,,43232510:Geographic information system,esri,25
siemens ugs nx,,,43232604:Computer aided design CAD software,siemens,25
rockware winsism,,,43232605:Analytical or scientific software,rockware,23
lexisnexis total search,,,43232202:Document management software,lexisnexis,20
bentley watercad,,,43232604:Computer aided design CAD software,bentley,18
cadence virtuoso spectre circuit simulator,,,43232605:Analytical or scientific software,cadence,16
sungard webplaid,,,43231604:Financial analysis software,sungard,16
corel wordperfect office suite,,,43232104:Word processing software|43231513:Office suite software,corel,15
elite software vdrop,,,43232605:Analytical or scientific software,elite,15
ge sensing & inspection technologies rhythm ut,,,43232605:Analytical or scientific software,ge,15
cisco webex,,,43233502:Video conferencing software,cisco,14
open text web solutions,,,43232202:Document management software,open,14
trimble total control,,,43232605:Analytical or scientific software,trimble,14
adp workforce now,,,43232306:Data base user interface and query software|43231505:Human resources software,adp,13
symantec visual cafe,,,43232402:Development environment software,symantec,13
vero software worknc,,,43232612:Computer aided manufacturing CAM software,vero,13
fanuc robotics torchmate 3,,,43232608:Industrial control software,fanuc,12
infor xa,,,43231602:Enterprise resource planning ERP software,infor,11
amazon web services aws software,,,43232306:Data base user interface and query software,amazon,10
avid technology sibelius,,,43232005:Music or sound editing software,avid,10
mckesson radiology manager,,,43232610:Medical software,mckesson,10
mentor graphics xpedition xdx designer,,,43232604:Computer aided design CAD software,mentor,10
ptc windchill,,,43232202:Document management software,ptc,10
meditech supply chain management,,,43231506:Materials requirements planning logistics and supply chain software,meditech,9
red wing software centerpoint accounting for agriculture,,,43231601:Accounting software,red,9
synopsys tetramax atpg,,,43232605:Analytical or scientific software,synopsys,9
allscripts sunrise,,,43232610:Medical software,allscripts,8
cerner profile,,,43232610:Medical software,cerner,8
conest t&m billing manager,,,43231607:Billing and invoicing software,conest,8
creative systems corporation freight-link system,,,43231506:Materials requirements planning logistics and supply chain software,creative,8
emc symmetrix dmx,,,43232907:Storage networking software,emc,8
experian transact sm,,,43232201:Content workflow software,experian,8
hewlett-packard hp winrunner,,,43232406:Program testing software,hewlett-packard,8
montgomery investment technology utility xl,,,43232105:Charting software,montgomery,8
proquest worldwide political science abstracts,,,43232309:Information retrieval or search software,proquest,8
teradata tpump,,,43232307:Data mining software,teradata,8
abb robotstudio,,,43232402:Development environment software,abb,7
accelrys qaunta,,,43232605:Analytical or scientific software,accelrys,7
advantage software total eclipse,,,43232104:Word processing software,advantage,7
ansys simulation software,,,43232605:Analytical or scientific software,ansys,7
ca technologies erwin data modeler,,,43232310:Metadata management software,ca,7
chemsw uncertainty pro,,,43232605:Analytical or scientific software,chemsw,7
hp webinspect,,,43233205:Transaction security and virus protection software,hp,7
intergraph smartmarine 3d,,,43232604:Computer aided design CAD software,intergraph,7
intuit turbotax,,,43231603:Tax preparation software,intuit,7
kentech protalk,,,43232309:Information retrieval or search software,kentech,7
laborsoft laborforce reporting/dashboard manager module,,,43231505:Human resources software,laborsoft,7
moody's riskcalc,,,43231604:Financial analysis software,moody's,7
techhackers swap @nalyst,,,43231604:Financial analysis software,techhackers,7
thermal synthesizer system tss,,,43232605:Analytical or scientific software,thermal,7
vector software vectorcast,,,43232406:Program testing software,vector,7
assisi software assisi resource,,,43232605:Analytical or scientific software,assisi,6
blackbaud the raiser's edge,,,43232303:Customer relationship management CRM software,blackbaud,6
chempute software visimix,,,43232605:Analytical or scientific software,chempute,6
ebsco publishing political science complete,,,43232309:Information retrieval or search software,ebsco,6
epic systems software,,,43232610:Medical software,epic,6
farm works software trac,,,43232306:Data base user interface and query software,farm,6
golden software voxler,,,43232102:Graphics or photo imaging software,golden,6
lucia mfish,,,43232605:Analytical or scientific software,lucia,6
quest sql optimizer for oracle,,,43232402:Development environment software,quest,6
reliasoft xfmea,,,43232605:Analytical or scientific software,reliasoft,6
schlumberger pvti,,,43232605:Analytical or scientific software,schlumberger,6
sun nuclear mapcheck,,,43232610:Medical software,sun,6
apex mobilesketch,,,43233506:Map creation software,apex,5
asi point of sale,,,43232611:Point of sale POS software,asi,5
